"Artist","Genres"
"R3HAB","pop dance"
"R3HAB","progressive electro house"
"R3HAB","slap house"
"R3HAB","tropical house"
"WhatSoNot","aussietronica"
"WhatSoNot","edm"
"WhatSoNot","electro house"
"WhatSoNot","electronic trap"
"WhatSoNot","electropop"
"WhatSoNot","escape room"
"WhatSoNot","future bass"
"WhatSoNot","vapor twitch"
"OttoKnows","edm"
"OttoKnows","electro house"
"OttoKnows","pop dance"
"OttoKnows","progressive electro house"
"OttoKnows","tropical house"
"MichelFugain","chanson"
"Anne-MarieNzié","Unknown"
"ZHU","edm"
"ZHU","electro house"
"ZHU","house"
"JLisk","deep tropical house"
"JLisk","new french touch"
"JLisk","tropical house"
"KanyeWest","chicago rap"
"KanyeWest","rap"
"MobbDeep","east coast hip hop"
"MobbDeep","gangster rap"
"MobbDeep","hardcore hip hop"
"MobbDeep","hip hop"
"MobbDeep","queens hip hop"
"MobbDeep","rap"
"MattandKim","brooklyn indie"
"MattandKim","indie pop"
"MattandKim","indie poptimism"
"MattandKim","indie rock"
"MattandKim","indietronica"
"MattandKim","modern alternative rock"
"MattandKim","modern rock"
"MattandKim","shimmer pop"
"MattandKim","stomp and holler"
"OroSolido","latin"
"OroSolido","merengue"
"OroSolido","tropical"
"Tiësto","Unknown"
"JuliaJacklin","art pop"
"JuliaJacklin","indie folk"
"JuliaJacklin","indie pop"
"JuliaJacklin","indie rock"
"JuliaJacklin","sydney indie"
"Air","adult standards"
"Air","mellow gold"
"Air","soft rock"
"AireAtlantica","nyc pop"
"French79","electronica"
"French79","french indie pop"
"French79","french indietronica"
"French79","new french touch"
"OMNOM","bass house"
"DJSnake","dance pop"
"DJSnake","edm"
"DJSnake","electronic trap"
"DJSnake","pop"
"DJSnake","pop dance"
"DJSnake","pop rap"
"Euterson","Unknown"
"Eminem","detroit hip hop"
"Eminem","hip hop"
"Eminem","rap"
"PeterBroderick","compositional ambient"
"PeterBroderick","neo-classical"
"Mr.Käfer","Unknown"
"HundredWaters","gainesville indie"
"HundredWaters","indie psych-pop"
"BRONSON","edm"
"BRONSON","vapor twitch"
"MelveenLeed","hawaiian"
"Nirvana","alternative rock"
"Nirvana","grunge"
"Nirvana","permanent wave"
"Nirvana","rock"
"Rezz","canadian electronic"
"Rezz","dark clubbing"
"Rezz","edm"
"Rezz","electra"
"Rezz","electro house"
"Rezz","electronic trap"
"Wings","album rock"
"Wings","art rock"
"Wings","beatlesque"
"Wings","classic rock"
"Wings","folk rock"
"Wings","mellow gold"
"Wings","rock"
"Wings","soft rock"
"MontyPython","british comedy"
