"artistName","album","trackName","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genres"
"JOYRYDE","BRAVE","I SLAY","50gPjAfjdq6BjEz937C3hm",0.736,0.964,1,-2.291,1,0.294,0.00785,0.000497,0.131,0.372,100.019,196895,4,"electronic trap"
"JOYRYDE","BRAVE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"bass house"
"JOYRYDE","BRAVE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"edm"
"JOYRYDE","BRAVE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"electro house"
"JOYRYDE","BRAVE","IM GONE","6Em6BtxvTsQrXFsFVzAEym",0.253,0.676,10,-6.13,1,0.0455,0.00531,7.85e-06,0.256,0.306,180.031,185022,4,"electronic trap"
"JOYRYDE","BRAVE","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"bass house"
"JOYRYDE","BRAVE","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"edm"
"JOYRYDE","BRAVE","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"electro house"
"JOYRYDE","BRAVE","MADDEN","1YjIovGnzdY2N6pr4pifl0",0.727,0.618,8,-4.283,1,0.358,0.00541,0,0.101,0.173,76.322,123936,4,"electronic trap"
"JOYRYDE","BRAVE","ON FIRE","0B2ZuTLZnWQ6gz8RlNwBu1",0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,187280,4,"bass house"
"JOYRYDE","BRAVE","ON FIRE","0B2ZuTLZnWQ6gz8RlNwBu1",0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,187280,4,"edm"
"JOYRYDE","BRAVE","ON FIRE","0B2ZuTLZnWQ6gz8RlNwBu1",0.759,0.825,8,-4.289,1,0.22,0.0923,0.00057,0.24,0.429,94.857,187280,4,"electro house"
